feature,coefficient,odds_multiplier_per_1_woe
term,-0.9477634116418361,0.38760697194936533
acc_open_past_24mths,-0.7888568124839103,0.45436392165942546
home_ownership,-0.6720716446324266,0.5106495967529281
mort_acc,-0.652882678186508,0.5205430537620079
bc_open_to_buy,-0.6382642190582105,0.5282084829922831
fico_n,-0.6050155399949538,0.5460659407118108
loan_to_income,-0.5939346754827987,0.5521504720918744
dti,-0.4367359047288435,0.6461420519400081
mths_since_recent_inq,-0.4069428764165733,0.6656822153690122
inq_last_6mths,-0.39830738136593896,0.6714556029976706
avg_cur_bal,-0.2292064071152026,0.7951643889777368
num_actv_rev_tl,-0.16877745232906485,0.8446968677903113
annual_inc,-0.12207520802716777,0.8850818007433275
percent_bc_gt_75,-0.10983743465471921,0.895979778720013
loan_amnt,0.1905591831743534,1.2099259787787018
