feature,iv
term,0.27106043826872395
loan_to_income,0.12945308934349417
fico_n,0.11305052227949877
acc_open_past_24mths,0.08674742535240942
dti,0.0784219909235726
bc_open_to_buy,0.057712531617155075
avg_cur_bal,0.0455192816437252
total_bc_limit,0.04068750842959429
loan_amnt,0.039865979424102575
mths_since_recent_inq,0.037971584112456644
percent_bc_gt_75,0.03340420367867926
annual_inc,0.03181249094118856
inq_last_6mths,0.03164182710912661
num_actv_rev_tl,0.030702581054029104
mort_acc,0.02973156735598819
bc_util,0.027901254978108237
home_ownership,0.024957309932448254
revol_util,0.020038481916009765
purpose,0.016018418620245046
credit_history_months,0.01338219892654302
open_acc,0.008298407849737528
emp_length,0.007008161822544811
revol_bal,0.004354440429884594
pub_rec,0.004315378604913705
pub_rec_bankruptcies,0.003636235670318426
mths_since_last_major_derog,0.0034563773609971723
total_bal_ex_mort,0.0029039667540767256
num_accts_ever_120_pd,0.002867560532005602
delinq_2yrs,0.0013666432030054096
collections_12_mths_ex_med,0.0009452365613155493
num_tl_90g_dpd_24m,0.0008416920129823669
pct_tl_nvr_dlq,0.000722466061209239
total_acc,0.000277207110015534
application_type,6.762154097422994e-05
