risk_decile,observations,defaults,bad_rate,mean_pd,lift,cumulative_default_capture
1,16933,7660,0.45237110966751315,0.5174876781393009,1.9555242324290383,0.19556281753427454
2,16932,5946,0.351169383416017,0.37021542406050006,1.518046188807052,0.34736653986571014
3,16932,5224,0.30852823056933615,0.2958959501857338,1.3337156559582979,0.4807373177768133
4,16932,4605,0.2719702338766832,0.24829014634503838,1.1756815841669146,0.5983047818427838
5,16932,3928,0.2319867706118592,0.2124872770470928,1.0028397964403128,0.698588169215451
6,16932,3479,0.2054689345617765,0.18257934709277882,0.8882076506659491,0.7874084097117618
7,16931,2972,0.1755359990549879,0.15534554439046444,0.7588126042530983,0.8632847404835456
8,16933,2415,0.1426209177346011,0.12865993722896524,0.6165262429916616,0.9249406418341035
9,16932,1910,0.1128041578077014,0.0997714200961353,0.4876334040735737,0.9737036942480023
10,16932,1030,0.060831561540278765,0.06163252810467616,0.2629646105737073,1.0
