lower,upper,expected_share,actual_share,psi_component
-inf,394.4940023184087,0.10000016704279135,0.07244819012408384,0.008880006817017921
394.4940023184087,425.43990045476164,0.10000016704279135,0.08626809432970511,0.002028392380169684
425.43990045476164,446.4328337971295,0.10000016704279135,0.08940414951482686,0.0011868044018456883
446.4328337971295,462.8011101212057,0.10000016704279135,0.0942765516386036,0.00033734619883017024
462.8011101212057,477.1614184848944,0.09999849661487784,0.09808588420810177,3.693577343414613e-05
477.1614184848944,491.0776024478927,0.10000016704279135,0.1021255485143603,4.469904174607569e-05
491.0776024478927,505.8097368545842,0.10000016704279135,0.10544468790049669,0.00028863949679250957
505.8097368545842,523.2464309239596,0.10000016704279135,0.10998045133208521,0.0009494322133107269
523.2464309239596,548.1581408907795,0.10000016704279135,0.11391380868291588,0.0018125334612543345
548.1581408907795,inf,0.10000016704279135,0.12805263375482073,0.006936520096365443
